ISP (UTC),Imbalance+ [EUR/MWh],Imbalance- [EUR/MWh],Total Imbalance [MWh]
09.01.2019 10:30 - 09.01.2019 11:00,64.06,70.8,226
09.01.2019 11:00 - 09.01.2019 11:30,57.22,63.24,173
09.01.2019 11:30 - 09.01.2019 12:00,61.72,68.22,24
09.01.2019 12:00 - 09.01.2019 12:30,61.04,67.46,88
09.01.2019 12:30 - 09.01.2019 13:00,61.04,67.46,78
09.01.2019 13:00 - 09.01.2019 13:30,58.39,64.53,305
09.01.2019 13:30 - 09.01.2019 14:00,58.39,64.53,82
09.01.2019 14:00 - 09.01.2019 14:30,55.71,61.57,179
09.01.2019 14:30 - 09.01.2019 15:00,45.48,50.26,72
09.01.2019 15:00 - 09.01.2019 15:30,58.42,64.56,151
09.01.2019 15:30 - 09.01.2019 16:00,58.42,64.56,491
09.01.2019 16:00 - 09.01.2019 16:30,57.94,64.04,74
09.01.2019 16:30 - 09.01.2019 17:00,72.96,80.64,677
09.01.2019 17:00 - 09.01.2019 17:30,65.1,71.96,50
09.01.2019 17:30 - 09.01.2019 18:00,67.82,74.96,301
09.01.2019 18:00 - 09.01.2019 18:30,69.06,76.32,635
09.01.2019 18:30 - 09.01.2019 19:00,72.69,80.35,347
09.01.2019 19:00 - 09.01.2019 19:30,71.56,79.1,964
09.01.2019 19:30 - 09.01.2019 20:00,72.21,79.81,191
09.01.2019 20:00 - 09.01.2019 20:30,67.96,75.12,626
09.01.2019 20:30 - 09.01.2019 21:00,62.05,68.59,553
09.01.2019 21:00 - 09.01.2019 21:30,68.98,76.24,619
09.01.2019 21:30 - 09.01.2019 22:00,76.65,84.71,1531
09.01.2019 22:00 - 09.01.2019 22:30,77.38,85.52,837
09.01.2019 22:30 - 09.01.2019 23:00,79.25,87.59,919
09.01.2019 23:00 - 09.01.2019 23:30,78.78,87.08,956
09.01.2019 23:30 - 10.01.2019 00:00,55.67,61.53,226
10.01.2019 00:00 - 10.01.2019 00:30,54.43,60.15,768
10.01.2019 00:30 - 10.01.2019 01:00,55.39,61.22,690
10.01.2019 01:00 - 10.01.2019 01:30,49.75,54.99,568
10.01.2019 01:30 - 10.01.2019 02:00,51.44,56.86,533
10.01.2019 02:00 - 10.01.2019 02:30,48.11,53.17,852
10.01.2019 02:30 - 10.01.2019 03:00,54.58,60.32,599
10.01.2019 03:00 - 10.01.2019 03:30,53.43,59.05,431
10.01.2019 03:30 - 10.01.2019 04:00,49.57,54.79,292
10.01.2019 04:00 - 10.01.2019 04:30,47.31,52.29,170
10.01.2019 04:30 - 10.01.2019 05:00,49.78,55.02,653
10.01.2019 05:00 - 10.01.2019 05:30,63.52,70.2,378
10.01.2019 05:30 - 10.01.2019 06:00,65.96,72.9,1469
10.01.2019 06:00 - 10.01.2019 06:30,71.99,79.57,1114
10.01.2019 06:30 - 10.01.2019 07:00,86.89,96.03,1703
10.01.2019 07:00 - 10.01.2019 07:30,104.4,115.38,965
10.01.2019 07:30 - 10.01.2019 08:00,103.45,114.33,975
10.01.2019 08:00 - 10.01.2019 08:30,107.82,119.16,919
10.01.2019 08:30 - 10.01.2019 09:00,113.42,125.36,857
10.01.2019 09:00 - 10.01.2019 09:30,126.21,139.49,273
10.01.2019 09:30 - 10.01.2019 10:00,77.09,85.21,97
10.01.2019 10:00 - 10.01.2019 10:30,73.6,81.34,117
10.01.2019 10:30 - 10.01.2019 11:00,68.88,76.13,166
10.01.2019 11:00 - 10.01.2019 11:30,66.65,73.67,148
10.01.2019 11:30 - 10.01.2019 12:00,79.78,88.18,251
10.01.2019 12:00 - 10.01.2019 12:30,85.42,94.42,580
10.01.2019 12:30 - 10.01.2019 13:00,80.09,88.52,466
10.01.2019 13:00 - 10.01.2019 13:30,85.54,94.54,692
10.01.2019 13:30 - 10.01.2019 14:00,83.96,92.8,460
10.01.2019 14:00 - 10.01.2019 14:30,89.81,99.27,583
10.01.2019 14:30 - 10.01.2019 15:00,91.51,101.15,516
10.01.2019 15:00 - 10.01.2019 15:30,83.1,91.84,226
10.01.2019 15:30 - 10.01.2019 16:00,81.31,89.87,394
10.01.2019 16:00 - 10.01.2019 16:30,86.31,95.39,196
10.01.2019 16:30 - 10.01.2019 17:00,83.74,92.56,896
10.01.2019 17:00 - 10.01.2019 17:30,93.57,103.41,425
10.01.2019 17:30 - 10.01.2019 18:00,90.12,99.6,964
10.01.2019 18:00 - 10.01.2019 18:30,84.17,93.03,979
10.01.2019 18:30 - 10.01.2019 19:00,88.48,97.8,196
10.01.2019 19:00 - 10.01.2019 19:30,78.55,86.81,696
10.01.2019 19:30 - 10.01.2019 20:00,68.32,75.52,87
10.01.2019 20:00 - 10.01.2019 20:30,64.34,71.12,32
10.01.2019 20:30 - 10.01.2019 21:00,64.34,71.12,28
10.01.2019 21:00 - 10.01.2019 21:30,62.24,68.8,164
10.01.2019 21:30 - 10.01.2019 22:00,71.47,78.99,378
10.01.2019 22:00 - 10.01.2019 22:30,59.87,66.17,432
10.01.2019 22:30 - 10.01.2019 23:00,59.01,65.23,368
10.01.2019 23:00 - 10.01.2019 23:30,64.53,71.33,557
10.01.2019 23:30 - 11.01.2019 00:00,57.8,63.88,16
11.01.2019 00:00 - 11.01.2019 00:30,61.41,67.87,350
11.01.2019 00:30 - 11.01.2019 01:00,63.13,69.77,150
11.01.2019 01:00 - 11.01.2019 01:30,63.89,70.61,281
11.01.2019 01:30 - 11.01.2019 02:00,64.09,70.83,108
11.01.2019 02:00 - 11.01.2019 02:30,44.84,49.56,66
11.01.2019 02:30 - 11.01.2019 03:00,45.57,50.37,30
11.01.2019 03:00 - 11.01.2019 03:30,46.17,51.03,38
11.01.2019 03:30 - 11.01.2019 04:00,45.19,49.95,99
11.01.2019 04:00 - 11.01.2019 04:30,66.32,73.3,208
11.01.2019 04:30 - 11.01.2019 05:00,43.69,48.29,118
11.01.2019 05:00 - 11.01.2019 05:30,80.08,88.5,61
11.01.2019 05:30 - 11.01.2019 06:00,100.16,110.7,1317
11.01.2019 06:00 - 11.01.2019 06:30,64.62,71.42,116
11.01.2019 06:30 - 11.01.2019 07:00,148.11,163.7,602
11.01.2019 07:00 - 11.01.2019 07:30,61.89,68.41,90
11.01.2019 07:30 - 11.01.2019 08:00,65.2,72.06,229
11.01.2019 08:00 - 11.01.2019 08:30,63.36,70.02,235
11.01.2019 08:30 - 11.01.2019 09:00,67.74,74.88,290
11.01.2019 09:00 - 11.01.2019 09:30,70.18,77.56,7
11.01.2019 09:30 - 11.01.2019 10:00,70.18,77.56,209
11.01.2019 10:00 - 11.01.2019 10:30,69.13,76.41,14
11.01.2019 10:30 - 11.01.2019 11:00,69.13,76.41,200
11.01.2019 11:00 - 11.01.2019 11:30,65.33,72.21,19
11.01.2019 11:30 - 11.01.2019 12:00,71.36,78.88,71
11.01.2019 12:00 - 11.01.2019 12:30,63.72,70.42,35
11.01.2019 12:30 - 11.01.2019 13:00,63.83,70.55,563
11.01.2019 13:00 - 11.01.2019 13:30,64.42,71.2,42
11.01.2019 13:30 - 11.01.2019 14:00,64.45,71.23,350
11.01.2019 14:00 - 11.01.2019 14:30,67.73,74.85,155
11.01.2019 14:30 - 11.01.2019 15:00,68.3,75.48,186
11.01.2019 15:00 - 11.01.2019 15:30,62.97,69.59,68
11.01.2019 15:30 - 11.01.2019 16:00,60.6,66.98,327
11.01.2019 16:00 - 11.01.2019 16:30,62.25,68.81,381
11.01.2019 16:30 - 11.01.2019 17:00,66.68,73.7,243
11.01.2019 17:00 - 11.01.2019 17:30,71.84,79.4,123
11.01.2019 17:30 - 11.01.2019 18:00,72.5,80.14,215
11.01.2019 18:00 - 11.01.2019 18:30,75.02,82.92,95
11.01.2019 18:30 - 11.01.2019 19:00,67.8,74.94,257
11.01.2019 19:00 - 11.01.2019 19:30,70.97,78.45,500
11.01.2019 19:30 - 11.01.2019 20:00,63.22,69.88,176
11.01.2019 20:00 - 11.01.2019 20:30,72.36,79.98,558
11.01.2019 20:30 - 11.01.2019 21:00,68.77,76.01,165
11.01.2019 21:00 - 11.01.2019 21:30,60.35,66.71,101
11.01.2019 21:30 - 11.01.2019 22:00,69.1,76.38,786
11.01.2019 22:00 - 11.01.2019 22:30,71.38,78.9,169
11.01.2019 22:30 - 11.01.2019 23:00,70.19,77.57,97
11.01.2019 23:00 - 11.01.2019 23:30,65.95,72.89,940
11.01.2019 23:30 - 12.01.2019 00:00,65.8,72.72,158
12.01.2019 00:00 - 12.01.2019 00:30,63.44,70.12,90
12.01.2019 00:30 - 12.01.2019 01:00,47.55,52.55,550
12.01.2019 01:00 - 12.01.2019 01:30,61.4,67.86,51
12.01.2019 01:30 - 12.01.2019 02:00,43.85,48.47,387
12.01.2019 02:00 - 12.01.2019 02:30,60.39,66.75,8
12.01.2019 02:30 - 12.01.2019 03:00,61.86,68.38,144
12.01.2019 03:00 - 12.01.2019 03:30,51.21,56.6,95
12.01.2019 03:30 - 12.01.2019 04:00,56.34,62.27,52
12.01.2019 04:00 - 12.01.2019 04:30,59.58,65.86,196
12.01.2019 04:30 - 12.01.2019 05:00,42.24,46.68,481
12.01.2019 05:00 - 12.01.2019 05:30,43.53,48.11,732
12.01.2019 05:30 - 12.01.2019 06:00,43.54,48.12,345
12.01.2019 06:00 - 12.01.2019 06:30,48.34,53.42,620
12.01.2019 06:30 - 12.01.2019 07:00,48.26,53.34,586
12.01.2019 07:00 - 12.01.2019 07:30,47.68,52.7,304
12.01.2019 07:30 - 12.01.2019 08:00,45.58,50.38,247
12.01.2019 08:00 - 12.01.2019 08:30,59,65.22,21
12.01.2019 08:30 - 12.01.2019 09:00,59,65.22,136
12.01.2019 09:00 - 12.01.2019 09:30,61.75,68.25,231
12.01.2019 09:30 - 12.01.2019 10:00,60.94,67.36,387
12.01.2019 10:00 - 12.01.2019 10:30,61.25,67.69,17
12.01.2019 10:30 - 12.01.2019 11:00,61.25,67.69,40
12.01.2019 11:00 - 12.01.2019 11:30,66.75,73.77,231
12.01.2019 11:30 - 12.01.2019 12:00,68.03,75.19,501
12.01.2019 12:00 - 12.01.2019 12:30,67.33,74.41,490
12.01.2019 12:30 - 12.01.2019 13:00,56.53,62.48,275
12.01.2019 13:00 - 12.01.2019 13:30,52.94,58.52,233
12.01.2019 13:30 - 12.01.2019 14:00,52.94,58.52,36
12.01.2019 14:00 - 12.01.2019 14:30,48.16,53.22,157
12.01.2019 14:30 - 12.01.2019 15:00,48.16,53.22,40
12.01.2019 15:00 - 12.01.2019 15:30,45.3,50.06,15
12.01.2019 15:30 - 12.01.2019 16:00,45.3,50.06,113
12.01.2019 16:00 - 12.01.2019 16:30,42.84,47.34,421
12.01.2019 16:30 - 12.01.2019 17:00,65.08,71.93,244
12.01.2019 17:00 - 12.01.2019 17:30,64.77,71.59,29
12.01.2019 17:30 - 12.01.2019 18:00,65.8,72.72,41
12.01.2019 18:00 - 12.01.2019 18:30,62.99,69.63,226
12.01.2019 18:30 - 12.01.2019 19:00,63.34,70,9
12.01.2019 19:00 - 12.01.2019 19:30,62.06,68.6,129
12.01.2019 19:30 - 12.01.2019 20:00,64.37,71.15,110
12.01.2019 20:00 - 12.01.2019 20:30,60.89,67.29,46
12.01.2019 20:30 - 12.01.2019 21:00,44.21,48.87,212
12.01.2019 21:00 - 12.01.2019 21:30,52.6,58.14,488
12.01.2019 21:30 - 12.01.2019 22:00,63.49,70.17,40
12.01.2019 22:00 - 12.01.2019 22:30,51.36,56.76,537
12.01.2019 22:30 - 12.01.2019 23:00,51.42,56.84,532
12.01.2019 23:00 - 12.01.2019 23:30,51.21,56.61,355
12.01.2019 23:30 - 13.01.2019 00:00,48.99,54.15,882
13.01.2019 00:00 - 13.01.2019 00:30,47.07,52.03,388
13.01.2019 00:30 - 13.01.2019 01:00,46.69,51.61,397
13.01.2019 01:00 - 13.01.2019 01:30,41.55,45.93,132
13.01.2019 01:30 - 13.01.2019 02:00,41.55,45.93,341
13.01.2019 02:00 - 13.01.2019 02:30,30.08,33.24,96
13.01.2019 02:30 - 13.01.2019 03:00,30.08,33.24,163
13.01.2019 03:00 - 13.01.2019 03:30,25.73,28.43,146
13.01.2019 03:30 - 13.01.2019 04:00,25.73,28.43,206
13.01.2019 04:00 - 13.01.2019 04:30,25.46,28.14,152
13.01.2019 04:30 - 13.01.2019 05:00,25.46,28.14,224
13.01.2019 05:00 - 13.01.2019 05:30,26.08,28.82,375
13.01.2019 05:30 - 13.01.2019 06:00,26.08,28.82,115
13.01.2019 06:00 - 13.01.2019 06:30,22.76,25.16,227
13.01.2019 06:30 - 13.01.2019 07:00,25.16,27.8,62
13.01.2019 07:00 - 13.01.2019 07:30,31.74,35.08,133
13.01.2019 07:30 - 13.01.2019 08:00,32.98,36.46,367
13.01.2019 08:00 - 13.01.2019 08:30,32.19,35.57,482
13.01.2019 08:30 - 13.01.2019 09:00,30.47,33.67,90
13.01.2019 09:00 - 13.01.2019 09:30,43.21,47.75,134
13.01.2019 09:30 - 13.01.2019 10:00,49.45,54.65,27
13.01.2019 10:00 - 13.01.2019 10:30,50.46,55.78,67
13.01.2019 10:30 - 13.01.2019 11:00,47.97,53.01,398
13.01.2019 11:00 - 13.01.2019 11:30,54.73,60.49,196
13.01.2019 11:30 - 13.01.2019 12:00,61.73,68.23,384
13.01.2019 12:00 - 13.01.2019 12:30,57.44,63.48,246
13.01.2019 12:30 - 13.01.2019 13:00,49.89,55.15,221
13.01.2019 13:00 - 13.01.2019 13:30,59.06,65.28,13
13.01.2019 13:30 - 13.01.2019 14:00,29.74,32.87,692
13.01.2019 14:00 - 13.01.2019 14:30,17.72,19.58,275
13.01.2019 14:30 - 13.01.2019 15:00,19.75,21.83,471
13.01.2019 15:00 - 13.01.2019 15:30,14.61,16.15,565
13.01.2019 15:30 - 13.01.2019 16:00,9.6,10.62,272
13.01.2019 16:00 - 13.01.2019 16:30,45.93,50.77,35
13.01.2019 16:30 - 13.01.2019 17:00,56.07,61.97,1534
13.01.2019 17:00 - 13.01.2019 17:30,63.54,70.22,682
13.01.2019 17:30 - 13.01.2019 18:00,63.4,70.08,636
13.01.2019 18:00 - 13.01.2019 18:30,65.41,72.29,494
13.01.2019 18:30 - 13.01.2019 19:00,64.18,70.94,504
13.01.2019 19:00 - 13.01.2019 19:30,64.21,70.97,558
13.01.2019 19:30 - 13.01.2019 20:00,55.11,60.91,62
13.01.2019 20:00 - 13.01.2019 20:30,52.41,57.93,362
13.01.2019 20:30 - 13.01.2019 21:00,47.98,53.03,177
13.01.2019 21:00 - 13.01.2019 21:30,51.39,56.79,365
13.01.2019 21:30 - 13.01.2019 22:00,56.46,62.4,226
13.01.2019 22:00 - 13.01.2019 22:30,54,59.68,110
13.01.2019 22:30 - 13.01.2019 23:00,47.41,52.4,178
13.01.2019 23:00 - 13.01.2019 23:30,45.82,50.64,604
13.01.2019 23:30 - 14.01.2019 00:00,45.63,50.43,22
14.01.2019 00:00 - 14.01.2019 00:30,33.75,37.31,225
14.01.2019 00:30 - 14.01.2019 01:00,29.42,32.52,158
14.01.2019 01:00 - 14.01.2019 01:30,26.28,29.04,264
14.01.2019 01:30 - 14.01.2019 02:00,23.89,26.41,29
14.01.2019 02:00 - 14.01.2019 02:30,26.92,29.76,215
14.01.2019 02:30 - 14.01.2019 03:00,9.98,11.03,52
14.01.2019 03:00 - 14.01.2019 03:30,22.32,24.66,204
14.01.2019 03:30 - 14.01.2019 04:00,22.32,24.66,213
14.01.2019 04:00 - 14.01.2019 04:30,31.02,34.28,546
14.01.2019 04:30 - 14.01.2019 05:00,22.11,24.43,351
14.01.2019 05:00 - 14.01.2019 05:30,66.4,73.38,667
14.01.2019 05:30 - 14.01.2019 06:00,72.66,80.3,694
14.01.2019 06:00 - 14.01.2019 06:30,72.11,79.71,442
14.01.2019 06:30 - 14.01.2019 07:00,72.27,79.87,531
14.01.2019 07:00 - 14.01.2019 07:30,59.57,65.84,118
14.01.2019 07:30 - 14.01.2019 08:00,69.98,77.34,61
14.01.2019 08:00 - 14.01.2019 08:30,64.96,71.8,184
14.01.2019 08:30 - 14.01.2019 09:00,56.43,62.37,156
14.01.2019 09:00 - 14.01.2019 09:30,43.7,48.3,95
14.01.2019 09:30 - 14.01.2019 10:00,41.43,45.79,23
14.01.2019 10:00 - 14.01.2019 10:30,44.28,48.94,49
14.01.2019 10:30 - 14.01.2019 11:00,47.73,52.75,71
14.01.2019 11:00 - 14.01.2019 11:30,53.9,59.58,47
14.01.2019 11:30 - 14.01.2019 12:00,63.84,70.56,8
14.01.2019 12:00 - 14.01.2019 12:30,33.56,37.1,184
14.01.2019 12:30 - 14.01.2019 13:00,35.46,39.2,264
14.01.2019 13:00 - 14.01.2019 13:30,61.11,67.55,411
14.01.2019 13:30 - 14.01.2019 14:00,61.11,67.55,122
14.01.2019 14:00 - 14.01.2019 14:30,65.82,72.74,485
14.01.2019 14:30 - 14.01.2019 15:00,69.23,76.51,550
14.01.2019 15:00 - 14.01.2019 15:30,68.8,76.04,488
14.01.2019 15:30 - 14.01.2019 16:00,65.03,71.87,524
14.01.2019 16:00 - 14.01.2019 16:30,54.41,60.13,618
14.01.2019 16:30 - 14.01.2019 17:00,58.57,64.73,95
14.01.2019 17:00 - 14.01.2019 17:30,55.38,61.2,848
14.01.2019 17:30 - 14.01.2019 18:00,53.35,58.97,559
14.01.2019 18:00 - 14.01.2019 18:30,45.55,50.35,136
14.01.2019 18:30 - 14.01.2019 19:00,55.03,60.83,251
14.01.2019 19:00 - 14.01.2019 19:30,72.7,80.36,415
14.01.2019 19:30 - 14.01.2019 20:00,55.36,61.18,698
14.01.2019 20:00 - 14.01.2019 20:30,60.75,67.15,151
14.01.2019 20:30 - 14.01.2019 21:00,44.83,49.55,174
14.01.2019 21:00 - 14.01.2019 21:30,58.14,64.26,696
14.01.2019 21:30 - 14.01.2019 22:00,69.67,77.01,284
14.01.2019 22:00 - 14.01.2019 22:30,54.78,60.54,60
14.01.2019 22:30 - 14.01.2019 23:00,64.27,71.03,88
14.01.2019 23:00 - 14.01.2019 23:30,66.86,73.9,261
14.01.2019 23:30 - 15.01.2019 00:00,48.74,53.88,668
15.01.2019 00:00 - 15.01.2019 00:30,44.69,49.39,87
15.01.2019 00:30 - 15.01.2019 01:00,44.98,49.72,467
15.01.2019 01:00 - 15.01.2019 01:30,34.71,38.37,136
15.01.2019 01:30 - 15.01.2019 02:00,36.35,40.17,568
15.01.2019 02:00 - 15.01.2019 02:30,35.06,38.75,184
15.01.2019 02:30 - 15.01.2019 03:00,31.68,35.02,346
15.01.2019 03:00 - 15.01.2019 03:30,36.25,40.07,393
15.01.2019 03:30 - 15.01.2019 04:00,36.01,39.81,563
15.01.2019 04:00 - 15.01.2019 04:30,42.81,47.31,505
15.01.2019 04:30 - 15.01.2019 05:00,42.1,46.54,202
15.01.2019 05:00 - 15.01.2019 05:30,45.97,50.81,883
15.01.2019 05:30 - 15.01.2019 06:00,62.77,69.37,110
15.01.2019 06:00 - 15.01.2019 06:30,72.18,79.78,104
15.01.2019 06:30 - 15.01.2019 07:00,70.23,77.63,520
15.01.2019 07:00 - 15.01.2019 07:30,70.03,77.41,84
15.01.2019 07:30 - 15.01.2019 08:00,70.43,77.85,183
15.01.2019 08:00 - 15.01.2019 08:30,70.4,77.81,58
15.01.2019 08:30 - 15.01.2019 09:00,70.68,78.12,305
15.01.2019 09:00 - 15.01.2019 09:30,70.35,77.75,28
15.01.2019 09:30 - 15.01.2019 10:00,67.49,74.59,376
15.01.2019 10:00 - 15.01.2019 10:30,66.6,73.62,281
15.01.2019 10:30 - 15.01.2019 11:00,65.46,72.36,540
15.01.2019 11:00 - 15.01.2019 11:30,61.83,68.33,286
15.01.2019 11:30 - 15.01.2019 12:00,60.46,66.82,202
15.01.2019 12:00 - 15.01.2019 12:30,56.29,62.21,53
15.01.2019 12:30 - 15.01.2019 13:00,57.73,63.81,317
15.01.2019 13:00 - 15.01.2019 13:30,55.42,61.26,21
15.01.2019 13:30 - 15.01.2019 14:00,56.89,62.87,596
15.01.2019 14:00 - 15.01.2019 14:30,48.9,54.04,40
15.01.2019 14:30 - 15.01.2019 15:00,50.27,55.57,78
15.01.2019 15:00 - 15.01.2019 15:30,57.95,64.05,157
15.01.2019 15:30 - 15.01.2019 16:00,58.12,64.24,116
15.01.2019 16:00 - 15.01.2019 16:30,56.44,62.38,594
15.01.2019 16:30 - 15.01.2019 17:00,53.75,59.41,100
15.01.2019 17:00 - 15.01.2019 17:30,67.14,74.2,259
15.01.2019 17:30 - 15.01.2019 18:00,56.96,62.96,336
15.01.2019 18:00 - 15.01.2019 18:30,71,78.48,177
15.01.2019 18:30 - 15.01.2019 19:00,68.46,75.66,211
15.01.2019 19:00 - 15.01.2019 19:30,71.54,79.08,339
15.01.2019 19:30 - 15.01.2019 20:00,67.77,74.91,257
15.01.2019 20:00 - 15.01.2019 20:30,63.78,70.5,334
15.01.2019 20:30 - 15.01.2019 21:00,58.79,64.97,16
15.01.2019 21:00 - 15.01.2019 21:30,54.13,59.83,415
15.01.2019 21:30 - 15.01.2019 22:00,67.16,74.22,464
15.01.2019 22:00 - 15.01.2019 22:30,69.18,76.46,304
15.01.2019 22:30 - 15.01.2019 23:00,64.64,71.44,240
15.01.2019 23:00 - 15.01.2019 23:30,67.91,75.05,744
15.01.2019 23:30 - 16.01.2019 00:00,47.72,52.74,192
16.01.2019 00:00 - 16.01.2019 00:30,54.43,60.15,575
16.01.2019 00:30 - 16.01.2019 01:00,55,60.78,449
16.01.2019 01:00 - 16.01.2019 01:30,52.27,57.77,503
16.01.2019 01:30 - 16.01.2019 02:00,51.02,56.4,272
16.01.2019 02:00 - 16.01.2019 02:30,43.56,48.14,263
16.01.2019 02:30 - 16.01.2019 03:00,42.82,47.32,163
16.01.2019 03:00 - 16.01.2019 03:30,45.7,50.51,657
16.01.2019 03:30 - 16.01.2019 04:00,51.04,56.42,450
16.01.2019 04:00 - 16.01.2019 04:30,65.31,72.19,396
16.01.2019 04:30 - 16.01.2019 05:00,61.47,67.95,684
16.01.2019 05:00 - 16.01.2019 05:30,47.22,52.2,154
16.01.2019 05:30 - 16.01.2019 06:00,64.95,71.79,373
16.01.2019 06:00 - 16.01.2019 06:30,45.27,50.03,604
16.01.2019 06:30 - 16.01.2019 07:00,42.69,47.19,45
16.01.2019 07:00 - 16.01.2019 07:30,64.02,70.76,182
16.01.2019 07:30 - 16.01.2019 08:00,64.32,71.1,198
16.01.2019 08:00 - 16.01.2019 08:30,68.75,75.99,235
16.01.2019 08:30 - 16.01.2019 09:00,66.85,73.89,103
16.01.2019 09:00 - 16.01.2019 09:30,68.59,75.81,79
16.01.2019 09:30 - 16.01.2019 10:00,68.59,75.81,243
16.01.2019 10:00 - 16.01.2019 10:30,67.49,74.59,195
16.01.2019 10:30 - 16.01.2019 11:00,57.67,63.75,360
16.01.2019 11:00 - 16.01.2019 11:30,64.7,71.51,104
16.01.2019 11:30 - 16.01.2019 12:00,65.35,72.23,6
16.01.2019 12:00 - 16.01.2019 12:30,64.36,71.14,8
16.01.2019 12:30 - 16.01.2019 13:00,64.36,71.14,195
16.01.2019 13:00 - 16.01.2019 13:30,65.43,72.31,446
16.01.2019 13:30 - 16.01.2019 14:00,61.82,68.32,163
16.01.2019 14:00 - 16.01.2019 14:30,65.65,72.56,234
16.01.2019 14:30 - 16.01.2019 15:00,60.19,66.53,176
16.01.2019 15:00 - 16.01.2019 15:30,57.78,63.86,108
16.01.2019 15:30 - 16.01.2019 16:00,57.78,63.86,15
16.01.2019 16:00 - 16.01.2019 16:30,60.49,66.85,73
16.01.2019 16:30 - 16.01.2019 17:00,67.01,74.07,357
16.01.2019 17:00 - 16.01.2019 17:30,65.79,72.71,37
16.01.2019 17:30 - 16.01.2019 18:00,68.71,75.95,141
16.01.2019 18:00 - 16.01.2019 18:30,58.16,64.28,26
16.01.2019 18:30 - 16.01.2019 19:00,64.36,71.14,522
16.01.2019 19:00 - 16.01.2019 19:30,63.74,70.44,213
16.01.2019 19:30 - 16.01.2019 20:00,58.39,64.53,1047
16.01.2019 20:00 - 16.01.2019 20:30,45.51,50.3,1002
16.01.2019 20:30 - 16.01.2019 21:00,48.01,53.07,925
16.01.2019 21:00 - 16.01.2019 21:30,45.54,50.34,992
16.01.2019 21:30 - 16.01.2019 22:00,37.87,41.85,453
16.01.2019 22:00 - 16.01.2019 22:30,45.4,50.18,546
16.01.2019 22:30 - 16.01.2019 23:00,45.34,50.12,305
16.01.2019 23:00 - 16.01.2019 23:30,21.03,23.25,16
16.01.2019 23:30 - 17.01.2019 00:00,30.65,33.87,404
17.01.2019 00:00 - 17.01.2019 00:30,49.71,54.95,146
17.01.2019 00:30 - 17.01.2019 01:00,44.5,49.18,135
17.01.2019 01:00 - 17.01.2019 01:30,51.8,57.26,301
17.01.2019 01:30 - 17.01.2019 02:00,51.88,57.34,92
17.01.2019 02:00 - 17.01.2019 02:30,30.95,34.21,7
17.01.2019 02:30 - 17.01.2019 03:00,30.95,34.21,206
17.01.2019 03:00 - 17.01.2019 03:30,26.52,29.32,555
17.01.2019 03:30 - 17.01.2019 04:00,26.73,29.55,518
17.01.2019 04:00 - 17.01.2019 04:30,35.06,38.76,378
17.01.2019 04:30 - 17.01.2019 05:00,32.97,36.44,565
17.01.2019 05:00 - 17.01.2019 05:30,32.84,36.3,383
17.01.2019 05:30 - 17.01.2019 06:00,33.64,37.18,7
17.01.2019 06:00 - 17.01.2019 06:30,42.43,46.89,508
17.01.2019 06:30 - 17.01.2019 07:00,37.1,41,165
17.01.2019 07:00 - 17.01.2019 07:30,47.72,52.74,690
17.01.2019 07:30 - 17.01.2019 08:00,54.37,60.09,769
17.01.2019 08:00 - 17.01.2019 08:30,53.44,59.06,356
17.01.2019 08:30 - 17.01.2019 09:00,57.42,63.46,553
17.01.2019 09:00 - 17.01.2019 09:30,65.04,71.88,140
17.01.2019 09:30 - 17.01.2019 10:00,67.55,74.67,354
17.01.2019 10:00 - 17.01.2019 10:30,56.44,62.38,365
17.01.2019 10:30 - 17.01.2019 11:00,57.06,63.06,410
17.01.2019 11:00 - 17.01.2019 11:30,62.22,68.76,628
17.01.2019 11:30 - 17.01.2019 12:00,62.53,69.11,456
17.01.2019 12:00 - 17.01.2019 12:30,59.31,65.55,649
17.01.2019 12:30 - 17.01.2019 13:00,56.64,62.6,975
17.01.2019 13:00 - 17.01.2019 13:30,51.77,57.21,824
17.01.2019 13:30 - 17.01.2019 14:00,53.07,58.65,1077
17.01.2019 14:00 - 17.01.2019 14:30,51.77,57.21,817
17.01.2019 14:30 - 17.01.2019 15:00,48.91,54.05,598
17.01.2019 15:00 - 17.01.2019 15:30,52,57.48,703
17.01.2019 15:30 - 17.01.2019 16:00,51.82,57.28,519
17.01.2019 16:00 - 17.01.2019 16:30,53.51,59.15,390
17.01.2019 16:30 - 17.01.2019 17:00,65.24,72.1,489
17.01.2019 17:00 - 17.01.2019 17:30,60.11,66.43,224
17.01.2019 17:30 - 17.01.2019 18:00,54.98,60.76,61
17.01.2019 18:00 - 17.01.2019 18:30,43.36,47.92,144
17.01.2019 18:30 - 17.01.2019 19:00,50.45,55.77,364
17.01.2019 19:00 - 17.01.2019 19:30,67.3,74.38,80
17.01.2019 19:30 - 17.01.2019 20:00,55.83,61.71,300
17.01.2019 20:00 - 17.01.2019 20:30,67.56,74.68,225
17.01.2019 20:30 - 17.01.2019 21:00,52.79,58.35,7
17.01.2019 21:00 - 17.01.2019 21:30,53.25,58.85,343
17.01.2019 21:30 - 17.01.2019 22:00,61.72,68.22,485
17.01.2019 22:00 - 17.01.2019 22:30,58.45,64.61,163
17.01.2019 22:30 - 17.01.2019 23:00,61.82,68.32,29
17.01.2019 23:00 - 17.01.2019 23:30,60.09,66.41,638
